GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parcial2,parcial2.Controllers,MessageController,27,57,3,3,7,14,3,6,0,6
parcial2,parcial2.Controllers,UserController,17,119,1,7,5,25,1,11,0,8
parcial2,parcial2.Persistence,DaoMessage,48,261,1,9,15,59,1,10,0,6
parcial2,parcial2.Persistence,DaoUser,18,334,0,8,12,60,0,10,0,6
parcial2,parcial2.Response,UserWrapper,0,54,0,0,0,19,0,10,0,10
parcial2,parcial2.Response,LoginResponseWrapper,0,16,0,0,0,7,0,4,0,4
parcial2,parcial2.util,SessionData,46,51,5,1,9,14,4,5,1,5
parcial2,parcial2.util,AuthenticationData,3,14,0,0,1,6,1,4,1,4
parcial2,parcial2.Models,Person,0,110,0,0,0,44,0,19,0,19
parcial2,parcial2.Models,Message,0,94,0,0,0,38,0,17,0,17
parcial2,parcial2.Models,User,0,60,0,0,0,24,0,11,0,11
parcial2,parcial2,AuthFilter,34,3,2,0,9,1,2,1,1,1
parcial2,parcial2,App,14,3,0,0,3,1,2,1,2,1
parcial2,parcial2,AuthFilter.HeaderMapRequestWrapper,80,0,6,0,19,0,8,0,5,0
parcial2,parcial2,Configuracion,0,25,0,0,0,6,0,3,0,3
parcial2,parcial2.Services,MessageService,0,28,0,0,0,10,0,6,0,6
parcial2,parcial2.Services,UserService,0,31,0,0,0,10,0,6,0,6
parcial2,parcial2.Converter,UserConverter,0,32,0,0,0,3,0,2,0,2
